,Latitude,Longitude
66,40.69831932,-73.949790067
67,40.661813463,-73.991156275
68,40.644377079,-73.95886810100001
69,40.624965966,-74.145768952
70,40.635498723000005,-73.942130584
71,40.714384863,-73.757786395
72,40.749285799,-73.878540057
73,40.740427315,-73.869931544
74,40.833781835,-73.92657819899999
75,40.827421047,-73.912901422
76,40.635820896999995,-73.899726765
77,40.638323686999996,-73.99228356
78,40.768696494000004,-73.931671703
79,40.593760536,-73.980298328
80,40.610035501999995,-73.753587353
81,40.88367976,-73.833450905
82,40.706781298,-73.791130325
83,40.72152437,-73.74898308
84,40.68249473,-73.796823788
85,40.668003381,-73.772485512
86,40.676865878,-74.008059071
87,40.66499204,-73.884623052
88,40.66499204,-73.884623052
89,40.762860445,-73.967729332
90,40.626218629,-73.927660316
91,40.846867045,-73.786349543
92,40.84589001,-73.905659355
93,40.833330301,-73.905767506
94,40.686242481,-73.82417615600001
95,40.648335283,-74.08556676100001
96,40.644754824,-74.087241385
97,40.626858064000004,-74.163443377
98,40.758135542,-73.928502477
99,40.73975965,-74.00252386300001
100,40.798847456,-73.953878662
101,40.832773975,-73.894096197
102,40.651414613,-73.917754906
103,40.68088304,-73.981606598
104,40.731714801,-74.000957613
105,40.701416549,-73.914468982
106,40.748491936,-73.860990538
107,40.658378671,-73.886184297
108,40.658378671,-73.886184297
109,40.639483032,-73.94544926399999
110,40.630559489,-73.891066568
111,40.699024755,-73.806957913
112,40.715926953,-73.999323272
113,40.633983969,-73.989625132
114,40.834502766,-73.91337278
115,40.621795467,-74.082424012
116,40.659690989,-73.901384895
117,40.704494435,-74.011564514
118,40.68773221,-73.937491478
119,40.65830154,-73.910747058
120,40.841221647,-73.920765728
121,40.654952417,-73.958000222
122,40.670334734,-73.877952044
123,40.723504755,-73.948623837
124,40.673400859000004,-73.790474203
125,40.796955705,-73.968258173
127,40.662630781,-73.878564475
128,40.752442656,-73.871319319
129,40.842487614,-73.877560315
130,40.816366145,-73.86762631100001
131,40.673190876999996,-74.002607861
132,40.615905334000004,-74.136888458
133,40.654952417,-73.958000222
134,40.680374267,-73.976205862
135,40.759517253,-73.80410421
136,40.84617714,-73.918681558
137,40.729960035,-73.850583808
138,40.638240578,-74.116151487
139,40.668883767,-73.93250571899999
140,40.816565791,-73.91676323
141,40.680002664,-73.942236182
142,40.794630309,-73.950869526
143,40.859286427,-73.927800865
144,40.633648412,-73.895129166
145,40.822590244000004,-73.938264466
146,40.858373133,-73.899402084
147,40.782290775,-73.914596198
148,40.879329016999996,-73.902744276
149,40.828981339,-73.897759041
150,40.666587627,-73.93967768600001
151,40.661321369,-73.895154145
152,40.754933481,-73.910390193
153,40.756040182,-73.828536277
154,40.631101394,-73.898350407
155,40.831195316,-73.91327952
156,40.617729168000004,-73.95488269100001
157,40.801824214,-73.93928785199999
158,40.765650543,-73.831067427
159,40.768181348,-73.963849459
160,40.635309023000005,-73.97008248899999
161,40.874611044,-73.909690138
162,40.65340384,-73.949849097
163,40.859615246,-73.907776416
164,40.697352894,-73.992572448
165,40.700043002,-73.920504347
166,40.648932379,-73.949373166
167,40.754254698000004,-73.99938063399999
168,40.824494897,-73.912529478
169,40.671711322,-73.99413262899999
170,40.849329456999996,-73.93373230600001
171,40.840013133,-73.89865282699999
172,40.756298483,-73.878397328
173,40.756298483,-73.878397328
174,40.646115230999996,-73.94715192
175,40.677605279,-73.82821878
176,40.677605279,-73.82821878
177,40.677605279,-73.82821878
178,40.726175874,-73.998363475
179,40.863338448,-73.896469785
180,40.610743041999996,-73.953320702
181,40.677654048,-73.91311864800001
182,40.753532701,-73.994536892
183,40.873671035,-73.908013649
184,40.586231405,-73.816011121
185,40.586231405,-73.816011121
186,40.862850316,-73.921343712
187,40.868467378000005,-73.821582846
188,40.827075425,-73.862405403
189,40.677837858000004,-73.884874827
190,40.867326051999996,-73.831011607
191,40.631580605,-74.086226199
192,40.724144528000004,-73.99260554
193,40.700407139,-73.789188368
194,40.852095535,-73.892796674
195,40.651115823000005,-73.952517637
196,40.651115823000005,-73.952517637
197,40.76552838,-73.98003814399999
198,40.783481548000005,-73.979104742
199,40.679188251999996,-73.920540022
200,40.76045773,-73.995341293
201,40.659560389,-73.913016063
202,40.752884728000005,-73.99111170399999
203,40.596824231999996,-73.777556839
204,40.782290775,-73.914596198
205,40.854962953000005,-73.901120685
206,40.687338778000004,-73.981817557
207,40.66475956,-73.894042144
208,40.7359933,-73.745803684
209,40.828723865,-73.923190768
210,40.683676449000004,-73.917340137
211,40.776544719,-73.949626381
212,40.860070082,-73.891128088
213,40.673503366,-73.871453598
214,40.576281819,-73.98138341399999
215,40.71803315,-73.979745736
216,40.688839128000005,-73.95717838
217,40.692426206,-73.859996764
218,40.757542529,-73.887151876
219,40.674834671999996,-73.943080645
220,40.680757246,-73.953888222
221,40.651409722,-73.946726078
222,40.662692805,-73.88830716
223,40.639536936,-74.087303024
224,40.674777282,-73.871757575
225,40.750088756,-73.891004657
226,40.672880145,-73.923691086
227,40.632468199,-73.947263605
228,40.719077749,-73.993360067
229,40.68336304,-73.974867134
230,40.848647719,-73.911680839
231,40.81768474,-73.895438894
232,40.733926841,-73.871582398
233,40.781524626,-73.979516994
234,40.677907526999995,-73.910785714
235,40.694728158000004,-73.941826747
236,40.694728158000004,-73.941826747
237,40.715945906,-73.792548143
238,40.645919361,-73.95807437399999
239,40.643886081,-74.018858138
240,40.847766434,-73.88915303899999
241,40.82800266,-73.94917549899999
242,40.802114486,-73.938030616
243,40.691504375,-73.77962093800001
244,40.706548395,-73.95040063399999
245,40.711351165,-73.992080328
246,40.711351165,-73.992080328
247,40.652466642,-73.936281178
248,40.824494897,-73.912529478
249,40.824494897,-73.912529478
250,40.653515466,-73.886743997
251,40.838805984000004,-73.869175427
253,40.685638429,-73.91660214699999
254,40.661257641,-73.891549884
255,40.661257641,-73.891549884
256,40.712732035,-73.997992269
257,40.737368955,-73.996840424
258,40.762611582,-73.985876134
259,40.681456682,-73.94643887699999
260,40.833059239,-73.929802388
261,40.669312786,-73.84123904399999
262,40.884746135,-73.86384836399999
263,40.765650543,-73.831067427
264,40.635123355,-73.99377555
265,40.640592448,-73.94656175899999
266,40.816088874,-73.917688689
267,40.816872438000004,-73.850684927
268,40.879180176,-73.90529028
269,40.827060341,-73.915040992
270,40.690651669,-73.819552514
271,40.825583406999996,-73.918461022
272,40.761044468,-73.98701715
273,40.849863253,-73.93607763600001
274,40.707354054,-73.78913033
275,40.701100086,-73.813793472
276,40.751268883,-73.87985020100001
277,40.827132485,-73.887149486
278,40.697169212,-73.943746775
279,40.840018409,-73.87343400399999
280,40.7752551,-73.950569705
281,40.863997149,-73.893424636
282,40.863997149,-73.893424636
283,40.863997149,-73.893424636
284,40.735120728000005,-73.991456867
285,40.745603909,-73.903390603
286,40.646262083,-73.944258154
287,40.646262083,-73.944258154
288,40.811862362,-73.935500005
289,40.769201798000005,-73.986640099
290,40.689330153,-73.949681448
291,40.761044468,-73.98701715
292,40.64173826,-74.075678037
293,40.88162236,-73.878309148
294,40.709459979,-73.94314486
295,40.811588415,-73.91894056699999
296,40.709588905,-74.00952745800001
297,40.797567655,-73.96781002600001
298,40.694622381,-73.91703807399999
299,40.582301992,-74.168936095
300,40.703961143,-73.796549177
301,40.64382175,-73.999115001
302,40.795581553000005,-73.932297815
303,40.840234138,-73.917684114
304,40.738897609,-73.866762604
305,40.816892135,-73.916379866
306,40.655181335,-73.96113198
307,40.835069074,-73.860979497
308,40.741960877,-74.004609789
310,40.812134274,-73.904182714
311,40.840234138,-73.917684114
312,40.623226819,-74.149226973
313,40.739386042,-74.00896878100001
314,40.813264621,-73.930278451
315,40.634267142,-73.924614345
316,40.764032233,-73.978576575
317,40.749733638,-73.989675685
318,40.7442158,-73.98233614600001
319,40.679371743000004,-73.91241336899999
320,40.739976141,-73.99073452
321,40.721271551,-73.84339889
322,40.662444296,-73.96194234800001
323,40.874998873,-73.865459341
324,40.720734988000004,-73.844439134
325,40.671922073000005,-73.886846125
326,40.628106331,-73.914613366
327,40.712715081,-73.989230525
328,40.637937014,-73.956703006
329,40.577183815,-74.09372640000001
330,40.624717775,-73.912639991
331,40.761958686999996,-73.97260662
332,40.873671035,-73.908013649
333,40.895605778000004,-73.85616155
334,40.778357615,-73.952863804
335,40.858726825,-73.86655870199999
336,40.636959013,-73.937027403
337,40.868467378000005,-73.821582846
338,40.71188825,-73.941458275
339,40.747266257,-73.99149140000002
340,40.742997406,-73.984234687
341,40.718514334,-73.985366003
342,40.639859436,-74.131943554
343,40.747810021,-73.998518132
344,40.817008439,-73.894233282
345,40.665636874,-73.884434498
346,40.727790501,-73.865200916
347,40.686926273000005,-73.97736457399999
348,40.72971587,-73.863966671
349,40.644044421,-73.91341104600001
350,40.710055671,-74.007399396
351,40.75471934,-73.92575576899999
352,40.636915081,-74.013466015
353,40.734571546,-73.889828466
354,40.712229008,-73.98683547899999
355,40.711512653,-73.987080901
356,40.576929707,-73.98210679600001
357,40.67894167,-73.7960811
358,40.868467378000005,-73.821582846
359,40.810772766999996,-73.95259159
360,40.840396644,-73.883339443
361,40.811862362,-73.935500005
363,40.694342279000004,-73.822366144
364,40.763687987,-73.876423657
365,40.640763921,-73.994322718
366,40.600834475,-73.970285193
367,40.723636973000005,-73.998298598
368,40.723636973000005,-73.998298598
369,40.76187469,-73.96635808399999
370,40.660785804,-73.754391083
371,40.706045327,-74.010529637
372,40.78281448,-73.978574143
373,40.737036757,-73.864489386
374,40.737036757,-73.864489386
375,40.852141187,-73.922375722
376,40.80111858,-73.96521855399999
377,40.88220104,-73.88318653
378,40.733276458,-74.00507465300001
379,40.856258661,-73.901364574
380,40.634860926,-73.967517402
381,40.660480215,-73.950607892
382,40.631666999000004,-74.138300647
383,40.836652522,-73.90714690899999
384,40.891700015,-73.858322031
385,40.817709829,-73.923973014
386,40.820071677,-73.94032619
387,40.814763236,-73.958806155
388,40.636762182,-73.920576127
389,40.67000952,-73.974010611
390,40.83680208,-73.846679393
391,40.797621444,-73.964068235
392,40.828867589,-73.87685184899999
393,40.814986262,-73.886299423
394,40.704477026999996,-73.79960248100001
395,40.692014046,-73.777747723
396,40.663975076999996,-73.877952866
397,40.752433720999996,-73.91494126399999
398,40.725440168,-73.994672683
399,40.772252144,-73.902788728
400,40.898669939,-73.854841861
401,40.852854438,-73.907023079
402,40.694727938,-73.898094734
403,40.704284541999996,-73.797832173
404,40.62676108,-74.078085534
405,40.653674996,-73.96278707
406,40.854261635,-73.88480081600001
407,40.636525003,-74.116231372
408,40.831591993,-73.85910769600001
409,40.831591993,-73.85910769600001
